name,facility_type,amenity,speciality,operator,operator_type,beds,emergency,address,operational_status,longitude,latitude,osm_id,source
Al Sadiq-Saad Shaheed Hospital,hospital,hospital,,,,,,,,73.037903,33.600049,4082300079,
Anjum medical store,pharmacy,pharmacy,,,,,,,,,,544988733,
Medical Store,pharmacy,pharmacy,,,,,,,,66.950192,24.882987,1440050903,
,hospital,hospital,,,,,,,,72.358674,34.760649,4470163728,
Shahid Medical Center Korangi 1,hospital,hospital,,,,,,,,67.133263,24.822226,4769937767,
Shaukat Khanum Laboratory Collection Centre,pharmacy,pharmacy,,,,,,,,67.079577,24.828563,4786500680,
Amna Medical & General Store,pharmacy,pharmacy,,,,,,,,67.107826,24.814665,5144939664,
Eye Diagnostics,hospital,hospital,,,,,no,,,74.311952,31.506411,2050912811,
A To Z Clinic,clinic,clinic,,,,,,,,67.063059,24.965834,4740020149,
Murk General Hospital,hospital,hospital,,,,,,,,68.657591,25.762972,4883331101,
City Medical Center,clinic,clinic,,,,,,,,67.353968,24.868263,4739782289,
Shifa e madina medicine mart,pharmacy,pharmacy,,,,,,,,67.1525,24.881838,5285985442,
Babar Hospital,hospital,hospital,,,,,,,,67.069308,24.898049,4781359939,
Good Hope Clinic,clinic,clinic,,,,,,,,74.380654,31.553328,4508861251,
Shoukat Omer Memorial Hospital,hospital,hospital,,,,,,,,67.150821,24.884274,5172982168,
Sadi Hospital,hospital,hospital,,,,,,,,,,27261363,
Happy Teeth The Dental Surgery,clinic,clinic,,,,,,,,67.054715,24.86395,5130968260,
Super Traders,pharmacy,pharmacy,,,,,,,,74.189396,32.168469,4903512224,
Minahil Pharmacy,pharmacy,pharmacy,,,,,,,,73.068115,33.705453,4966360761,
teaching hospital,hospital,hospital,,,,,,,,,,95206581,
Muslim Pharmacy,pharmacy,pharmacy,,,,,,,,71.672605,29.407428,4923820117,
Kalim Medical Center,clinic,clinic,,,,,,,,74.305032,31.486887,4916641139,
Falahi Medical Center,hospital,hospital,,,,,,,,67.05169,24.892754,5345379621,
Medical stores,hospital,hospital,,,,,,,,71.512392,30.202146,1921953926,
Dr. Ashfaq Memon,clinic,clinic,,,,,,,,69.01527,25.526077,5384788143,
ali hospital,hospital,hospital,,,,,,,,73.058006,33.65753,4581586890,
Hashmanis Hospital,hospital,hospital,,,,,,,,67.034665,24.869719,4769325040,
Nusrat Hospital,hospital,hospital,,,,,,,,,,231202008,
Moazam Traders,pharmacy,pharmacy,,,,,,,,74.196232,32.178516,4905664931,
Dr Atiq Orthopedic & Medical Centre,hospital,hospital,,,,,,,,67.180906,24.883027,4737685501,
PWA Blood Bank,blood_donation,,,,,,,,,67.009931,24.859495,5160729717,
Usman Meical Store,pharmacy,pharmacy,,,,,,,,74.289431,31.618045,4910219626,
LRBT Rashidabad Eye Hospital,hospital,hospital,,,,,,,,68.674511,25.459309,6732220485,
Punjab Hospital,hospital,hospital,,,,,,,,71.516244,30.199335,4648271291,
Kiran Hospital,hospital,hospital,,,,,,,,67.14567,24.947023,5472015322,
PAEC General Hospital,hospital,hospital,,,,,yes,,,73.015869,33.652225,4715980289,
