id,product_name,company,pack_size,price_before_pkr,discount_percent,price_after_pkr,availability,text
drug-e3cc8797511f,Zamoclav,Zafa,6 Vial,226,10,203,Available,Zamoclav is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 6 Vial. Its retail price is Rs 203 after a 10% discount from the original price of Rs 226. Market availability: Available.
drug-d68fb6e82a7b,Zamoclav,Zafa,1 Vial,133,10,120,Available,Zamoclav is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 Vial. Its retail price is Rs 120 after a 10% discount from the original price of Rs 133. Market availability: Available.
drug-da513f09923f,Zamoclav,Zafa,60ml,125,10,112,Available,Zamoclav is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 60ml. Its retail price is Rs 112 after a 10% discount from the original price of Rs 125. Market availability: Available.
drug-dfebb0d513ad,Zamoclav,Zafa,60ml,171,10,153,Available,Zamoclav is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 60ml. Its retail price is Rs 153 after a 10% discount from the original price of Rs 171. Market availability: Available.
drug-2244afee803c,Zamoclav,Zafa,6,285,10,257,Available,Zamoclav is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 6. Its retail price is Rs 257 after a 10% discount from the original price of Rs 285. Market availability: Available.
drug-c8cdd7308c94,Zamoclav,Zafa,10,210,10,189,Available,Zamoclav is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 10. Its retail price is Rs 189 after a 10% discount from the original price of Rs 210. Market availability: Available.
drug-755eba3cac03,Zamoclav,Zafa,1 x 10's,350,10,315,Available,Zamoclav is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 x 10's. Its retail price is Rs 315 after a 10% discount from the original price of Rs 350. Market availability: Available.
drug-67c543f6238b,Zanlan,Novartis,1x30's,123,10,111,Sold Out,Zanlan is a pharmaceutical product marketed in Pakistan by Novartis. It is sold in a pack size of 1x30's. Its retail price is Rs 111 after a 10% discount from the original price of Rs 123. Market availability: Sold Out.
drug-f1e47fac6943,Zanlan,Novartis,120ml,65,10,65,Sold Out,Zanlan is a pharmaceutical product marketed in Pakistan by Novartis. It is sold in a pack size of 120ml. Its retail price is Rs 65 after a 10% discount from the original price of Rs 65. Market availability: Sold Out.
drug-4ce61f879247,Zanlan,Novartis,60ml,39,10,39,Sold Out,Zanlan is a pharmaceutical product marketed in Pakistan by Novartis. It is sold in a pack size of 60ml. Its retail price is Rs 39 after a 10% discount from the original price of Rs 39. Market availability: Sold Out.
drug-2ba0ff8488e0,Zanlan,Novartis,1x10's,42,10,42,Sold Out,Zanlan is a pharmaceutical product marketed in Pakistan by Novartis. It is sold in a pack size of 1x10's. Its retail price is Rs 42 after a 10% discount from the original price of Rs 42. Market availability: Sold Out.
drug-826e86421478,Zansulin 70/30,Zafa,1 vialx10ml,479,10,431,Sold Out,Zansulin 70/30 is a pharmaceutical product marketed in Pakistan by Zafa. It is sold in a pack size of 1 vialx10ml. Its retail price is Rs 431 after a 10% discount from the original price of Rs 479. Market availability: Sold Out.
