period,year,month,national_cpi_yoy_pct,national_cpi_mom_pct,urban_cpi_yoy_pct,urban_cpi_mom_pct,rural_cpi_yoy_pct,rural_cpi_mom_pct,spi_yoy_pct,spi_mom_pct,wpi_yoy_pct,wpi_mom_pct,national_cpi_index_2015_16,urban_cpi_index_2015_16,rural_cpi_index_2015_16,wpi_index_2015_16,annual_bx_klt_dinv_cd_wd,annual_bx_trf_pwkr_cd_dt,annual_fi_res_totl_cd,annual_fp_cpi_totl_zg,annual_ne_exp_gnfs_cd,annual_ne_imp_gnfs_cd,annual_ny_gdp_mktp_cd,annual_ny_gdp_mktp_kd_zg,annual_ny_gdp_pcap_cd,annual_sl_uem_totl_zs,national_cpi_yoy_pct_lag_1m,national_cpi_yoy_pct_lag_3m,national_cpi_yoy_pct_rolling_3m_avg,national_cpi_yoy_pct_rolling_6m_avg,urban_cpi_yoy_pct_lag_1m,urban_cpi_yoy_pct_lag_3m,urban_cpi_yoy_pct_rolling_3m_avg,urban_cpi_yoy_pct_rolling_6m_avg,rural_cpi_yoy_pct_lag_1m,rural_cpi_yoy_pct_lag_3m,rural_cpi_yoy_pct_rolling_3m_avg,rural_cpi_yoy_pct_rolling_6m_avg,spi_yoy_pct_lag_1m,spi_yoy_pct_lag_3m,spi_yoy_pct_rolling_3m_avg,spi_yoy_pct_rolling_6m_avg,wpi_yoy_pct_lag_1m,wpi_yoy_pct_lag_3m,wpi_yoy_pct_rolling_3m_avg,wpi_yoy_pct_rolling_6m_avg,target_next_month_national_cpi_yoy_pct,target_next_month_wpi_yoy_pct,target_next_month_national_cpi_direction,split
2020-03,2020,3,10.2,,9.3,,11.7,,,,9.3,,131.7,131.5,132.0,142.0,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,12.4,12.6,12.4,12.25,11.2,12.0,11.3,11.483333,14.2,13.6,14.1,13.466667,,,,,12.7,12.4,12.466667,12.383333,8.5,4.9,down,train
2020-04,2020,4,8.5,,7.7,,9.8,,,,4.9,,130.6,130.6,130.6,139.1,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,10.2,14.6,10.366667,11.833333,9.3,13.4,9.4,10.95,11.7,16.4,11.9,13.216667,,,,,9.3,15.4,8.966667,10.983333,8.2,1.5,down,train
2020-05,2020,5,8.2,,7.3,,9.7,,,,1.5,,131.0,131.0,131.0,136.2,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,8.5,12.4,8.966667,11.083333,7.7,11.2,8.1,10.15,9.8,14.2,10.4,12.566667,,,,,4.9,12.7,5.233333,9.366667,8.6,0.9,up,train
2020-06,2020,6,8.6,,7.6,,10.0,,,,0.9,,132.1,131.9,132.4,135.8,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,8.2,10.2,8.433333,10.416667,7.3,9.3,7.533333,9.416667,9.7,11.7,9.833333,11.966667,,,,,1.5,9.3,2.433333,7.45,9.3,3.2,up,train
2020-07,2020,7,9.3,,7.8,,11.6,,,,3.2,,135.4,134.7,136.4,143.1,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,8.6,8.5,8.7,9.533333,7.6,7.7,7.566667,8.483333,10.0,9.8,10.433333,11.166667,,,,,0.9,4.9,1.866667,5.416667,8.2,3.3,down,train
2020-08,2020,8,8.2,,7.1,,9.9,,,,3.3,,136.2,135.8,136.8,145.0,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,9.3,8.2,8.7,8.833333,7.8,7.3,7.5,7.8,11.6,9.7,10.5,10.45,,,,,3.2,1.5,2.466667,3.85,9.0,4.3,up,train
2020-09,2020,9,9.0,,7.7,,11.1,,,,4.3,,138.3,137.5,139.5,146.5,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,8.2,8.6,8.833333,8.633333,7.1,7.6,7.533333,7.533333,9.9,10.0,10.866667,10.35,,,,,3.3,0.9,3.6,3.016667,8.9,5.1,down,train
2020-10,2020,10,8.9,,7.3,,11.3,,,,5.1,,140.7,139.3,142.8,150.7,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,9.0,9.3,8.7,8.7,7.7,7.8,7.366667,7.466667,11.1,11.6,10.766667,10.6,,,,,4.3,3.2,4.233333,3.05,8.3,5.0,down,train
2020-11,2020,11,8.3,,7.0,,10.5,,,,5.0,,141.8,140.2,144.3,149.3,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,8.9,8.2,8.733333,8.716667,7.3,7.1,7.333333,7.416667,11.3,9.9,10.966667,10.733333,,,,,5.1,3.3,4.8,3.633333,8.0,5.7,down,train
2020-12,2020,12,8.0,,7.0,,9.5,,,,5.7,,140.9,139.7,142.7,149.8,2057000000.0,26089000000.0,18521734363.9531,9.740116,27935253908.9592,52327295403.4835,300425609817.981,-1.274087,1278.397352,5.994,8.3,9.0,8.4,8.616667,7.0,7.7,7.1,7.316667,10.5,11.1,10.433333,10.65,,,,,5.0,4.3,5.266667,4.433333,5.7,6.4,down,train
