auction_type,isin,tenor,issue_date,maturity_date,auction_date,settlement_date,target_amount_million_pkr,offered_competitive_face_value_million_pkr,offered_competitive_realized_value_million_pkr,accepted_competitive_face_value_million_pkr,accepted_competitive_realized_value_million_pkr,accepted_non_competitive_face_value_million_pkr,accepted_non_competitive_realized_value_million_pkr,short_sale_accommodated_face_value_million_pkr
Fresh,PK15P1601400,15-Year,2025-01-16,2040-01-16,2025-01-15,2025-01-16,50000,16500,14892.028,,,,0,0
Reopen,PK02Z1601274,02-Year,2025-01-16,2027-01-16,2025-02-12,2025-02-13,100000,233540.7,188186.6492,51250,41434.08675,31736.6,25658.089,12250
Reopen,PK03P1601281,03-Year,2025-01-16,2028-01-16,2025-02-12,2025-02-13,50000,44550,44427.8708,5550,5587.8868,2073,2106.383,0
Reopen,PK05P1601302,05-Year,2025-01-16,2030-01-16,2025-02-12,2025-02-13,100000,392550,386738.8693,223250,220292.79,10172,10131.676,9000
Reopen,PK10P1601351,10-Year,2025-01-16,2035-01-16,2025-02-12,2025-02-13,50000,175030,166928.2007,128530,123818.8637,1550,1507.567,1000
Reopen,PK15P1601400,15-Year,2025-01-16,2040-01-16,2025-02-12,2025-02-13,50000,65000,60975.105,,,,,0
Reopen,PK02Z1601274,02-Year,2025-01-16,2027-01-16,2025-03-12,2025-03-13,100000,115500,93318.8255,,,0,0,0
Reopen,PK03P1601281,03-Year,2025-01-16,2028-01-16,2025-03-12,2025-03-13,50000,117505,116447.0837,,,0,0,0
Reopen,PK05P1601302,05-Year,2025-01-16,2030-01-16,2025-03-12,2025-03-13,100000,149800,145668.7876,500,493.39925,5520,5549.596,0
Reopen,PK10P1601351,10-Year,2025-01-16,2035-01-16,2025-03-12,2025-03-13,50000,78502,72974.12927,9002,8619.236267,800,780.834,0
Reopen,PK15P1601400,15-Year,2025-01-16,2040-01-16,2025-03-12,2025-03-13,50000,15000,13883.805,,,0,0,0
Reopen,PK02Z1601274,02-Year,2025-01-16,2027-01-16,2025-04-09,2025-04-10,100000,120250,98267.2,37000,30325.1915,4615,3782.449,0
Reopen,PK03P1601281,03-Year,2025-01-16,2028-01-16,2025-04-09,2025-04-10,50000,165840,169820.526,38000,39164.0195,582.1,599.931,0
Reopen,PK05P1601302,05-Year,2025-01-16,2030-01-16,2025-04-09,2025-04-10,100000,306430,310154.677,93180,94795.9766,5368,5461.088,0
Reopen,PK10P1601351,10-Year,2025-01-16,2035-01-16,2025-04-09,2025-04-10,50000,287623,281914.199,247623,243754.8448,763,751.081,0
Reopen,PK15P1601400,15-Year,2025-01-16,2040-01-16,2025-04-09,2025-04-10,50000,7500,7112.437,,,,,0
Reopen,PK02Z1601274,02-Year,2025-01-16,2027-01-16,2025-05-07,2025-05-08,100000,157000,130062.4785,104000,86307.811,1591.4,1320.673,0
Reopen,PK03P1601281,03-Year,2025-01-16,2028-01-16,2025-05-07,2025-05-08,50000,279000,280320.4225,71000,71527.806,762.7,796.687,0
Reopen,PK05P1601302,05-Year,2025-01-16,2030-01-16,2025-05-07,2025-05-08,50000,203300,201472.6635,66300,66014.5715,2845,2938.376,0
Reopen,PK10P1601351,10-Year,2025-01-16,2035-01-16,2025-05-07,2025-05-08,50000,185968,178104.0142,53000,51415.559,20,20.144,0
Reopen,PK15P1601400,15-Year,2025-01-16,2040-01-16,2025-05-07,2025-05-08,50000,30000,28061.97,,,,,
Reopen,PK02Z1601274,02-Year,2025-01-16,2027-01-16,2025-06-18,2025-06-19,100000,276030.6,232395.1283,59000,49787.571,4135,3489,0
Reopen,PK03P1601281,03-Year,2025-01-16,2028-01-16,2025-06-18,2025-06-19,50000,188000,189654.867,35000,37256.2053,2013,2142.763,0
Reopen,PK05P1601302,05-Year,2025-01-16,2030-01-16,2025-06-18,2025-06-19,50000,375489,378231.251,123209,130783.9802,7224,7668.122,0
Reopen,PK10P1601351,10-Year,2025-01-16,2035-01-16,2025-06-18,2025-06-19,50000,87065.1,83805.70799,36588.1,37660.8384,1609,1656.151,0
